letters,form,cisi_number,site,iconography,position,seal_id,upos,xpos,letter_label_encoded,prefix,vowel,morpheme boundary,noun,verb,FormWithoutLemma,Counts,MorphemeSeparated,prefix_label_encoded
M035,seal_0335,M-0117,Mohenjo-daro,zebu bull,0,335,SIGN,INDUS,35,,,1,0,0,M035,1,M035,0
M103,seal_0335,M-0117,Mohenjo-daro,zebu bull,1,335,SIGN,INDUS,103,,,0,0,0,M103,1,M103,0
M211,seal_0335,M-0117,Mohenjo-daro,zebu bull,2,335,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M125,seal_0335,M-0117,Mohenjo-daro,zebu bull,3,335,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M065,seal_0336,M-0118,Mohenjo-daro,unicorn,0,336,SIGN,INDUS,65,,,1,0,0,M065,1,M065,0
M211,seal_0336,M-0118,Mohenjo-daro,unicorn,1,336,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M099,seal_0336,M-0118,Mohenjo-daro,unicorn,2,336,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M391,seal_0336,M-0118,Mohenjo-daro,unicorn,3,336,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M065,seal_0337,H-0106,Harappa,unicorn,0,337,SIGN,INDUS,65,,,1,0,0,M065,1,M065,0
M342,seal_0337,H-0106,Harappa,unicorn,1,337,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M176,seal_0337,H-0106,Harappa,unicorn,2,337,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M195,seal_0337,H-0106,Harappa,unicorn,3,337,SIGN,INDUS,195,,,0,0,0,M195,1,M195,0
M233,seal_0337,H-0106,Harappa,unicorn,4,337,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M019,seal_0338,M-0119,Mohenjo-daro,tiger,0,338,SIGN,INDUS,19,,,1,0,0,M019,1,M019,0
M233,seal_0338,M-0119,Mohenjo-daro,tiger,1,338,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M342,seal_0338,M-0119,Mohenjo-daro,tiger,2,338,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M051,seal_0338,M-0119,Mohenjo-daro,tiger,3,338,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M015,seal_0339,M-0120,Mohenjo-daro,elephant,0,339,SIGN,INDUS,15,,,1,0,0,M015,1,M015,0
M176,seal_0339,M-0120,Mohenjo-daro,elephant,1,339,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M099,seal_0339,M-0120,Mohenjo-daro,elephant,2,339,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M342,seal_0339,M-0120,Mohenjo-daro,elephant,3,339,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M051,seal_0339,M-0120,Mohenjo-daro,elephant,4,339,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M068,seal_0340,L-0028,Lothal,rhinoceros,0,340,SIGN,INDUS,68,,,1,0,0,M068,1,M068,0
M342,seal_0340,L-0028,Lothal,rhinoceros,1,340,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M367,seal_0340,L-0028,Lothal,rhinoceros,2,340,SIGN,INDUS,367,,,0,0,0,M367,1,M367,0
M059,seal_0341,DK-0019,Dholavira,unicorn,0,341,SIGN,INDUS,59,,,1,0,0,M059,1,M059,0
M304,seal_0341,DK-0019,Dholavira,unicorn,1,341,SIGN,INDUS,304,,,0,0,0,M304,1,M304,0
M059,seal_0341,DK-0019,Dholavira,unicorn,2,341,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M176,seal_0341,DK-0019,Dholavira,unicorn,3,341,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M099,seal_0341,DK-0019,Dholavira,unicorn,4,341,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M211,seal_0341,DK-0019,Dholavira,unicorn,5,341,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M041,seal_0342,M-0121,Mohenjo-daro,gharial,0,342,SIGN,INDUS,41,,,1,0,0,M041,1,M041,0
M336,seal_0342,M-0121,Mohenjo-daro,gharial,1,342,SIGN,INDUS,336,,,0,0,0,M336,1,M336,0
M342,seal_0342,M-0121,Mohenjo-daro,gharial,2,342,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M328,seal_0342,M-0121,Mohenjo-daro,gharial,3,342,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M003,seal_0343,H-0107,Harappa,buffalo,0,343,SIGN,INDUS,3,,,1,0,0,M003,1,M003,0
M342,seal_0343,H-0107,Harappa,buffalo,1,343,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M087,seal_0343,H-0107,Harappa,buffalo,2,343,SIGN,INDUS,87,,,0,0,0,M087,1,M087,0
M041,seal_0344,M-0122,Mohenjo-daro,unicorn,0,344,SIGN,INDUS,41,,,1,0,0,M041,1,M041,0
M233,seal_0344,M-0122,Mohenjo-daro,unicorn,1,344,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M211,seal_0344,M-0122,Mohenjo-daro,unicorn,2,344,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M051,seal_0345,C-0012,Chanhu-daro,zebu bull,0,345,SIGN,INDUS,51,,,1,0,0,M051,1,M051,0
M087,seal_0345,C-0012,Chanhu-daro,zebu bull,1,345,SIGN,INDUS,87,,,0,0,0,M087,1,M087,0
M065,seal_0345,C-0012,Chanhu-daro,zebu bull,2,345,SIGN,INDUS,65,,,0,0,0,M065,1,M065,0
M294,seal_0345,C-0012,Chanhu-daro,zebu bull,3,345,SIGN,INDUS,294,,,0,0,0,M294,1,M294,0
M089,seal_0345,C-0012,Chanhu-daro,zebu bull,4,345,SIGN,INDUS,89,,,0,0,0,M089,1,M089,0
M031,seal_0346,M-0123,Mohenjo-daro,zebu bull,0,346,SIGN,INDUS,31,,,1,0,0,M031,1,M031,0
M342,seal_0346,M-0123,Mohenjo-daro,zebu bull,1,346,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M176,seal_0346,M-0123,Mohenjo-daro,zebu bull,2,346,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M089,seal_0346,M-0123,Mohenjo-daro,zebu bull,3,346,SIGN,INDUS,89,,,0,0,0,M089,1,M089,0
M305,seal_0346,M-0123,Mohenjo-daro,zebu bull,4,346,SIGN,INDUS,305,,,0,0,0,M305,1,M305,0
M052,seal_0347,H-0108,Harappa,script only,0,347,SIGN,INDUS,52,,,1,0,0,M052,1,M052,0
M267,seal_0347,H-0108,Harappa,script only,1,347,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M065,seal_0347,H-0108,Harappa,script only,2,347,SIGN,INDUS,65,,,0,0,0,M065,1,M065,0
M036,seal_0348,SK-0013,Surkotada,tiger,0,348,SIGN,INDUS,36,,,1,0,0,M036,1,M036,0
M108,seal_0348,SK-0013,Surkotada,tiger,1,348,SIGN,INDUS,108,,,0,0,0,M108,1,M108,0
M211,seal_0348,SK-0013,Surkotada,tiger,2,348,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M176,seal_0348,SK-0013,Surkotada,tiger,3,348,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M039,seal_0349,M-0124,Mohenjo-daro,elephant,0,349,SIGN,INDUS,39,,,1,0,0,M039,1,M039,0
M087,seal_0349,M-0124,Mohenjo-daro,elephant,1,349,SIGN,INDUS,87,,,0,0,0,M087,1,M087,0
M342,seal_0349,M-0124,Mohenjo-daro,elephant,2,349,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M176,seal_0349,M-0124,Mohenjo-daro,elephant,3,349,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M099,seal_0349,M-0124,Mohenjo-daro,elephant,4,349,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M059,seal_0349,M-0124,Mohenjo-daro,elephant,5,349,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M065,seal_0349,M-0124,Mohenjo-daro,elephant,6,349,SIGN,INDUS,65,,,0,0,0,M065,1,M065,0
M055,seal_0350,H-0109,Harappa,buffalo,0,350,SIGN,INDUS,55,,,1,0,0,M055,1,M055,0
M293,seal_0350,H-0109,Harappa,buffalo,1,350,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M162,seal_0350,H-0109,Harappa,buffalo,2,350,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M346,seal_0350,H-0109,Harappa,buffalo,3,350,SIGN,INDUS,346,,,0,0,0,M346,1,M346,0
M391,seal_0350,H-0109,Harappa,buffalo,4,350,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M058,seal_0351,H-0110,Harappa,script only,0,351,SIGN,INDUS,58,,,1,0,0,M058,1,M058,0
M342,seal_0351,H-0110,Harappa,script only,1,351,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M176,seal_0351,H-0110,Harappa,script only,2,351,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M156,seal_0351,H-0110,Harappa,script only,3,351,SIGN,INDUS,156,,,0,0,0,M156,1,M156,0
M171,seal_0351,H-0110,Harappa,script only,4,351,SIGN,INDUS,171,,,0,0,0,M171,1,M171,0
M220,seal_0351,H-0110,Harappa,script only,5,351,SIGN,INDUS,220,,,0,0,0,M220,1,M220,0
M006,seal_0352,M-0125,Mohenjo-daro,zebu bull,0,352,SIGN,INDUS,6,,,1,0,0,M006,1,M006,0
M391,seal_0352,M-0125,Mohenjo-daro,zebu bull,1,352,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M382,seal_0352,M-0125,Mohenjo-daro,zebu bull,2,352,SIGN,INDUS,382,,,0,0,0,M382,1,M382,0
M391,seal_0352,M-0125,Mohenjo-daro,zebu bull,3,352,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M068,seal_0353,L-0029,Lothal,rhinoceros,0,353,SIGN,INDUS,68,,,1,0,0,M068,1,M068,0
M391,seal_0353,L-0029,Lothal,rhinoceros,1,353,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M157,seal_0353,L-0029,Lothal,rhinoceros,2,353,SIGN,INDUS,157,,,0,0,0,M157,1,M157,0
M293,seal_0353,L-0029,Lothal,rhinoceros,3,353,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M342,seal_0353,L-0029,Lothal,rhinoceros,4,353,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M233,seal_0353,L-0029,Lothal,rhinoceros,5,353,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M012,seal_0354,C-0013,Chanhu-daro,elephant,0,354,SIGN,INDUS,12,,,1,0,0,M012,1,M012,0
M391,seal_0354,C-0013,Chanhu-daro,elephant,1,354,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M006,seal_0355,BN-0013,Banawali,rhinoceros,0,355,SIGN,INDUS,6,,,1,0,0,M006,1,M006,0
M281,seal_0355,BN-0013,Banawali,rhinoceros,1,355,SIGN,INDUS,281,,,0,0,0,M281,1,M281,0
M305,seal_0355,BN-0013,Banawali,rhinoceros,2,355,SIGN,INDUS,305,,,0,0,0,M305,1,M305,0
M050,seal_0356,K-0026,Kalibangan,script only,0,356,SIGN,INDUS,50,,,1,0,0,M050,1,M050,0
M267,seal_0356,K-0026,Kalibangan,script only,1,356,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M099,seal_0356,K-0026,Kalibangan,script only,2,356,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M033,seal_0357,M-0126,Mohenjo-daro,unicorn,0,357,SIGN,INDUS,33,,,1,0,0,M033,1,M033,0
M254,seal_0357,M-0126,Mohenjo-daro,unicorn,1,357,SIGN,INDUS,254,,,0,0,0,M254,1,M254,0
M051,seal_0357,M-0126,Mohenjo-daro,unicorn,2,357,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M020,seal_0358,DK-0020,Dholavira,geometric,0,358,SIGN,INDUS,20,,,1,0,0,M020,1,M020,0
M162,seal_0358,DK-0020,Dholavira,geometric,1,358,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M395,seal_0358,DK-0020,Dholavira,geometric,2,358,SIGN,INDUS,395,,,0,0,0,M395,1,M395,0
M162,seal_0358,DK-0020,Dholavira,geometric,3,358,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M176,seal_0358,DK-0020,Dholavira,geometric,4,358,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M162,seal_0359,H-0111,Harappa,elephant,0,359,SIGN,INDUS,162,,,1,0,0,M162,1,M162,0
M267,seal_0359,H-0111,Harappa,elephant,1,359,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M087,seal_0359,H-0111,Harappa,elephant,2,359,SIGN,INDUS,87,,,0,0,0,M087,1,M087,0
M267,seal_0359,H-0111,Harappa,elephant,3,359,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M080,seal_0360,M-0127,Mohenjo-daro,unicorn,0,360,SIGN,INDUS,80,,,1,0,0,M080,1,M080,0
M176,seal_0360,M-0127,Mohenjo-daro,unicorn,1,360,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M391,seal_0360,M-0127,Mohenjo-daro,unicorn,2,360,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M020,seal_0361,L-0030,Lothal,unicorn,0,361,SIGN,INDUS,20,,,1,0,0,M020,1,M020,0
M099,seal_0361,L-0030,Lothal,unicorn,1,361,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M211,seal_0361,L-0030,Lothal,unicorn,2,361,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M220,seal_0361,L-0030,Lothal,unicorn,3,361,SIGN,INDUS,220,,,0,0,0,M220,1,M220,0
M367,seal_0362,SK-0014,Surkotada,unicorn,0,362,SIGN,INDUS,367,,,1,0,0,M367,1,M367,0
M162,seal_0362,SK-0014,Surkotada,unicorn,1,362,SIGN,INDUS,162,,,0,0,0,M162,1,M162,0
M059,seal_0363,M-0128,Mohenjo-daro,unicorn,0,363,SIGN,INDUS,59,,,1,0,0,M059,1,M059,0
M267,seal_0363,M-0128,Mohenjo-daro,unicorn,1,363,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M342,seal_0363,M-0128,Mohenjo-daro,unicorn,2,363,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M099,seal_0363,M-0128,Mohenjo-daro,unicorn,3,363,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M367,seal_0363,M-0128,Mohenjo-daro,unicorn,4,363,SIGN,INDUS,367,,,0,0,0,M367,1,M367,0
M059,seal_0364,DK-0021,Dholavira,unicorn,0,364,SIGN,INDUS,59,,,1,0,0,M059,1,M059,0
M263,seal_0364,DK-0021,Dholavira,unicorn,1,364,SIGN,INDUS,263,,,0,0,0,M263,1,M263,0
M065,seal_0364,DK-0021,Dholavira,unicorn,2,364,SIGN,INDUS,65,,,0,0,0,M065,1,M065,0
M162,seal_0365,H-0112,Harappa,unicorn,0,365,SIGN,INDUS,162,,,1,0,0,M162,1,M162,0
M388,seal_0365,H-0112,Harappa,unicorn,1,365,SIGN,INDUS,388,,,0,0,0,M388,1,M388,0
M342,seal_0365,H-0112,Harappa,unicorn,2,365,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M176,seal_0365,H-0112,Harappa,unicorn,3,365,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M027,seal_0366,M-0129,Mohenjo-daro,zebu bull,0,366,SIGN,INDUS,27,,,1,0,0,M027,1,M027,0
M099,seal_0366,M-0129,Mohenjo-daro,zebu bull,1,366,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M354,seal_0366,M-0129,Mohenjo-daro,zebu bull,2,366,SIGN,INDUS,354,,,0,0,0,M354,1,M354,0
M089,seal_0366,M-0129,Mohenjo-daro,zebu bull,3,366,SIGN,INDUS,89,,,0,0,0,M089,1,M089,0
M271,seal_0366,M-0129,Mohenjo-daro,zebu bull,4,366,SIGN,INDUS,271,,,0,0,0,M271,1,M271,0
M204,seal_0366,M-0129,Mohenjo-daro,zebu bull,5,366,SIGN,INDUS,204,,,0,0,0,M204,1,M204,0
M227,seal_0366,M-0129,Mohenjo-daro,zebu bull,6,366,SIGN,INDUS,227,,,0,0,0,M227,1,M227,0
M125,seal_0366,M-0129,Mohenjo-daro,zebu bull,7,366,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M023,seal_0367,DK-0022,Dholavira,geometric,0,367,SIGN,INDUS,23,,,1,0,0,M023,1,M023,0
M351,seal_0367,DK-0022,Dholavira,geometric,1,367,SIGN,INDUS,351,,,0,0,0,M351,1,M351,0
M342,seal_0367,DK-0022,Dholavira,geometric,2,367,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M048,seal_0368,M-0130,Mohenjo-daro,unicorn,0,368,SIGN,INDUS,48,,,1,0,0,M048,1,M048,0
M048,seal_0368,M-0130,Mohenjo-daro,unicorn,1,368,SIGN,INDUS,48,,,0,0,0,M048,1,M048,0
M342,seal_0368,M-0130,Mohenjo-daro,unicorn,2,368,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M048,seal_0369,H-0113,Harappa,unicorn,0,369,SIGN,INDUS,48,,,1,0,0,M048,1,M048,0
M342,seal_0369,H-0113,Harappa,unicorn,1,369,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M148,seal_0369,H-0113,Harappa,unicorn,2,369,SIGN,INDUS,148,,,0,0,0,M148,1,M148,0
M320,seal_0369,H-0113,Harappa,unicorn,3,369,SIGN,INDUS,320,,,0,0,0,M320,1,M320,0
M176,seal_0369,H-0113,Harappa,unicorn,4,369,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M008,seal_0370,H-0114,Harappa,elephant,0,370,SIGN,INDUS,8,,,1,0,0,M008,1,M008,0
M051,seal_0370,H-0114,Harappa,elephant,1,370,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M198,seal_0370,H-0114,Harappa,elephant,2,370,SIGN,INDUS,198,,,0,0,0,M198,1,M198,0
M089,seal_0370,H-0114,Harappa,elephant,3,370,SIGN,INDUS,89,,,0,0,0,M089,1,M089,0
M305,seal_0370,H-0114,Harappa,elephant,4,370,SIGN,INDUS,305,,,0,0,0,M305,1,M305,0
M059,seal_0371,M-0131,Mohenjo-daro,unicorn,0,371,SIGN,INDUS,59,,,1,0,0,M059,1,M059,0
M219,seal_0371,M-0131,Mohenjo-daro,unicorn,1,371,SIGN,INDUS,219,,,0,0,0,M219,1,M219,0
M267,seal_0371,M-0131,Mohenjo-daro,unicorn,2,371,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M102,seal_0371,M-0131,Mohenjo-daro,unicorn,3,371,SIGN,INDUS,102,,,0,0,0,M102,1,M102,0
M367,seal_0371,M-0131,Mohenjo-daro,unicorn,4,371,SIGN,INDUS,367,,,0,0,0,M367,1,M367,0
M099,seal_0371,M-0131,Mohenjo-daro,unicorn,5,371,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M058,seal_0372,SK-0015,Surkotada,rhinoceros,0,372,SIGN,INDUS,58,,,1,0,0,M058,1,M058,0
M293,seal_0372,SK-0015,Surkotada,rhinoceros,1,372,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M342,seal_0372,SK-0015,Surkotada,rhinoceros,2,372,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M059,seal_0372,SK-0015,Surkotada,rhinoceros,3,372,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M003,seal_0373,C-0014,Chanhu-daro,zebu bull,0,373,SIGN,INDUS,3,,,1,0,0,M003,1,M003,0
M236,seal_0373,C-0014,Chanhu-daro,zebu bull,1,373,SIGN,INDUS,236,,,0,0,0,M236,1,M236,0
M176,seal_0373,C-0014,Chanhu-daro,zebu bull,2,373,SIGN,INDUS,176,,,0,0,0,M176,1,M176,0
M074,seal_0374,L-0031,Lothal,zebu bull,0,374,SIGN,INDUS,74,,,1,0,0,M074,1,M074,0
M336,seal_0374,L-0031,Lothal,zebu bull,1,374,SIGN,INDUS,336,,,0,0,0,M336,1,M336,0
M125,seal_0375,L-0032,Lothal,script only,0,375,SIGN,INDUS,125,,,1,0,0,M125,1,M125,0
M328,seal_0375,L-0032,Lothal,script only,1,375,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M267,seal_0375,L-0032,Lothal,script only,2,375,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M102,seal_0375,L-0032,Lothal,script only,3,375,SIGN,INDUS,102,,,0,0,0,M102,1,M102,0
M089,seal_0375,L-0032,Lothal,script only,4,375,SIGN,INDUS,89,,,0,0,0,M089,1,M089,0
M125,seal_0375,L-0032,Lothal,script only,5,375,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M051,seal_0376,M-0132,Mohenjo-daro,geometric,0,376,SIGN,INDUS,51,,,1,0,0,M051,1,M051,0
M383,seal_0376,M-0132,Mohenjo-daro,geometric,1,376,SIGN,INDUS,383,,,0,0,0,M383,1,M383,0
M048,seal_0376,M-0132,Mohenjo-daro,geometric,2,376,SIGN,INDUS,48,,,0,0,0,M048,1,M048,0
M370,seal_0376,M-0132,Mohenjo-daro,geometric,3,376,SIGN,INDUS,370,,,0,0,0,M370,1,M370,0
M099,seal_0376,M-0132,Mohenjo-daro,geometric,4,376,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M233,seal_0376,M-0132,Mohenjo-daro,geometric,5,376,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M041,seal_0377,M-0133,Mohenjo-daro,script only,0,377,SIGN,INDUS,41,,,1,0,0,M041,1,M041,0
M260,seal_0377,M-0133,Mohenjo-daro,script only,1,377,SIGN,INDUS,260,,,0,0,0,M260,1,M260,0
M342,seal_0377,M-0133,Mohenjo-daro,script only,2,377,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M125,seal_0377,M-0133,Mohenjo-daro,script only,3,377,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M059,seal_0377,M-0133,Mohenjo-daro,script only,4,377,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
M048,seal_0377,M-0133,Mohenjo-daro,script only,5,377,SIGN,INDUS,48,,,0,0,0,M048,1,M048,0
M023,seal_0378,L-0033,Lothal,geometric,0,378,SIGN,INDUS,23,,,1,0,0,M023,1,M023,0
M290,seal_0378,L-0033,Lothal,geometric,1,378,SIGN,INDUS,290,,,0,0,0,M290,1,M290,0
M168,seal_0378,L-0033,Lothal,geometric,2,378,SIGN,INDUS,168,,,0,0,0,M168,1,M168,0
M293,seal_0378,L-0033,Lothal,geometric,3,378,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M065,seal_0378,L-0033,Lothal,geometric,4,378,SIGN,INDUS,65,,,0,0,0,M065,1,M065,0
M078,seal_0379,H-0115,Harappa,tiger,0,379,SIGN,INDUS,78,,,1,0,0,M078,1,M078,0
M223,seal_0379,H-0115,Harappa,tiger,1,379,SIGN,INDUS,223,,,0,0,0,M223,1,M223,0
M267,seal_0379,H-0115,Harappa,tiger,2,379,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M391,seal_0379,H-0115,Harappa,tiger,3,379,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M019,seal_0380,L-0034,Lothal,zebu bull,0,380,SIGN,INDUS,19,,,1,0,0,M019,1,M019,0
M293,seal_0380,L-0034,Lothal,zebu bull,1,380,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M391,seal_0380,L-0034,Lothal,zebu bull,2,380,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M062,seal_0381,L-0035,Lothal,zebu bull,0,381,SIGN,INDUS,62,,,1,0,0,M062,1,M062,0
M262,seal_0381,L-0035,Lothal,zebu bull,1,381,SIGN,INDUS,262,,,0,0,0,M262,1,M262,0
M293,seal_0381,L-0035,Lothal,zebu bull,2,381,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M099,seal_0381,L-0035,Lothal,zebu bull,3,381,SIGN,INDUS,99,,,0,0,0,M099,1,M099,0
M099,seal_0382,RGR-0010,Rakhigarhi,zebu bull,0,382,SIGN,INDUS,99,,,1,0,0,M099,1,M099,0
M342,seal_0382,RGR-0010,Rakhigarhi,zebu bull,1,382,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M267,seal_0382,RGR-0010,Rakhigarhi,zebu bull,2,382,SIGN,INDUS,267,,,0,0,0,M267,1,M267,0
M328,seal_0382,RGR-0010,Rakhigarhi,zebu bull,3,382,SIGN,INDUS,328,,,0,0,0,M328,1,M328,0
M071,seal_0383,C-0015,Chanhu-daro,buffalo,0,383,SIGN,INDUS,71,,,1,0,0,M071,1,M071,0
M065,seal_0383,C-0015,Chanhu-daro,buffalo,1,383,SIGN,INDUS,65,,,0,0,0,M065,1,M065,0
M053,seal_0384,C-0016,Chanhu-daro,rhinoceros,0,384,SIGN,INDUS,53,,,1,0,0,M053,1,M053,0
M211,seal_0384,C-0016,Chanhu-daro,rhinoceros,1,384,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M256,seal_0384,C-0016,Chanhu-daro,rhinoceros,2,384,SIGN,INDUS,256,,,0,0,0,M256,1,M256,0
M342,seal_0384,C-0016,Chanhu-daro,rhinoceros,3,384,SIGN,INDUS,342,,,0,0,0,M342,1,M342,0
M012,seal_0384,C-0016,Chanhu-daro,rhinoceros,4,384,SIGN,INDUS,12,,,0,0,0,M012,1,M012,0
M056,seal_0385,DK-0023,Dholavira,zebu bull,0,385,SIGN,INDUS,56,,,1,0,0,M056,1,M056,0
M305,seal_0385,DK-0023,Dholavira,zebu bull,1,385,SIGN,INDUS,305,,,0,0,0,M305,1,M305,0
M051,seal_0386,DK-0024,Dholavira,unicorn,0,386,SIGN,INDUS,51,,,1,0,0,M051,1,M051,0
M168,seal_0386,DK-0024,Dholavira,unicorn,1,386,SIGN,INDUS,168,,,0,0,0,M168,1,M168,0
M332,seal_0386,DK-0024,Dholavira,unicorn,2,386,SIGN,INDUS,332,,,0,0,0,M332,1,M332,0
M138,seal_0386,DK-0024,Dholavira,unicorn,3,386,SIGN,INDUS,138,,,0,0,0,M138,1,M138,0
M065,seal_0386,DK-0024,Dholavira,unicorn,4,386,SIGN,INDUS,65,,,0,0,0,M065,1,M065,0
M336,seal_0386,DK-0024,Dholavira,unicorn,5,386,SIGN,INDUS,336,,,0,0,0,M336,1,M336,0
M008,seal_0387,M-0134,Mohenjo-daro,tiger,0,387,SIGN,INDUS,8,,,1,0,0,M008,1,M008,0
M012,seal_0387,M-0134,Mohenjo-daro,tiger,1,387,SIGN,INDUS,12,,,0,0,0,M012,1,M012,0
M391,seal_0387,M-0134,Mohenjo-daro,tiger,2,387,SIGN,INDUS,391,,,0,0,0,M391,1,M391,0
M233,seal_0387,M-0134,Mohenjo-daro,tiger,3,387,SIGN,INDUS,233,,,0,0,0,M233,1,M233,0
M051,seal_0387,M-0134,Mohenjo-daro,tiger,4,387,SIGN,INDUS,51,,,0,0,0,M051,1,M051,0
M125,seal_0387,M-0134,Mohenjo-daro,tiger,5,387,SIGN,INDUS,125,,,0,0,0,M125,1,M125,0
M293,seal_0387,M-0134,Mohenjo-daro,tiger,6,387,SIGN,INDUS,293,,,0,0,0,M293,1,M293,0
M054,seal_0388,H-0116,Harappa,zebu bull,0,388,SIGN,INDUS,54,,,1,0,0,M054,1,M054,0
M211,seal_0388,H-0116,Harappa,zebu bull,1,388,SIGN,INDUS,211,,,0,0,0,M211,1,M211,0
M059,seal_0388,H-0116,Harappa,zebu bull,2,388,SIGN,INDUS,59,,,0,0,0,M059,1,M059,0
