cisi_number,site,inscription,role_pattern,avg_confidence,has_classifier_prefix,has_case_marker_suffix,contains_m059,length,iconography
H-0128,Harappa,M022 M211 M342 M328 M342,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.613,True,False,False,5,script only
H-0129,Harappa,M052 M342 M413 M293 M367,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.489,True,False,False,5,script only
H-0130,Harappa,M057 M363 M211 M233,CLASSIFIER → UNK → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.508,True,True,False,4,zebu bull
H-0131,Harappa,M017 M176 M338 M051 M048,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.458,True,False,False,5,unicorn
H-0132,Harappa,M056 M089 M337 M211 M059,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → HUB_AUTHORITY,0.56,True,False,True,5,script only
H-0133,Harappa,M016 M089 M048,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.607,True,False,False,3,elephant
H-0134,Harappa,M027 M342 M220,CLASSIFIER → RELATIONAL_MARKER → CASE_MARKER,0.784,True,True,False,3,gharial
H-0135,Harappa,M342 M176 M379 M367,RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.405,False,False,False,4,unicorn
H-0136,Harappa,M072 M305,CLASSIFIER → CASE_MARKER,0.84,True,True,False,2,zebu bull
H-0137,Harappa,M014 M176 M099 M012,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.59,True,False,False,4,geometric
H-0138,Harappa,M045 M162 M099 M391 M293 M328,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.567,True,False,False,6,elephant
H-0139,Harappa,M293 M162 M099 M342 M012 M342 M176,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.533,False,False,False,7,buffalo
H-0140,Harappa,M073 M211 M342 M176 M099,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.623,True,False,False,5,zebu bull
H-0141,Harappa,M048 M328 M267 M391 M328 M087,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.49,False,False,False,6,zebu bull
H-0142,Harappa,M059 M178 M267 M089,HUB_AUTHORITY → CORE_ENTITY → RELATIONAL_MARKER → RELATIONAL_MARKER,0.599,False,False,True,4,unicorn
H-0143,Harappa,M047 M059 M328 M059 M176,CLASSIFIER → HUB_AUTHORITY → RELATIONAL_MARKER → HUB_AUTHORITY → RELATIONAL_MARKER,0.756,True,False,True,5,rhinoceros
H-0144,Harappa,M016 M336 M233,CLASSIFIER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.689,True,True,False,3,elephant
H-0145,Harappa,M047 M267 M342 M176 M099,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.601,True,False,False,5,rhinoceros
H-0146,Harappa,M024 M176 M267 M087,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.575,True,False,False,4,gharial
H-0147,Harappa,M078 M391 M051,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.582,True,False,False,3,unicorn
H-0148,Harappa,M064 M125,CLASSIFIER → WEAK_CASE_MARKER,0.719,True,True,False,2,tiger
H-0149,Harappa,M061 M267 M087 M211,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.596,True,False,False,4,tiger
H-0150,Harappa,M045 M198 M367 M233,CLASSIFIER → FLEXIBLE_AGENT → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.64,True,True,False,4,elephant
H-0151,Harappa,M001 M258 M211 M059,CLASSIFIER → UNK → RELATIONAL_MARKER → HUB_AUTHORITY,0.565,True,False,True,4,elephant
H-0152,Harappa,M073 M267 M099 M125,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.688,True,True,False,4,zebu bull
H-0153,Harappa,M036 M162 M267 M249,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.691,True,True,False,4,elephant
H-0154,Harappa,M044 M065 M211,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.598,True,False,False,3,gharial
H-0155,Harappa,M016 M059 M342 M048,CLASSIFIER → HUB_AUTHORITY → RELATIONAL_MARKER → RELATIONAL_MARKER,0.738,True,False,True,4,elephant
H-0156,Harappa,M008 M048,CLASSIFIER → RELATIONAL_MARKER,0.669,True,False,False,2,unicorn
H-0157,Harappa,M078 M342 M176 M099 M342 M233 M375 M065,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER,0.593,True,False,False,8,unicorn
H-0158,Harappa,M068 M099 M211 M012,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.565,True,False,False,4,rhinoceros
H-0159,Harappa,M030 M048 M237 M048,CLASSIFIER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER,0.555,True,False,False,4,script only
H-0160,Harappa,M019 M176 M162 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.718,True,False,True,4,script only
H-0161,Harappa,M042 M089 M249,CLASSIFIER → RELATIONAL_MARKER → CASE_MARKER,0.72,True,True,False,3,rhinoceros
H-0162,Harappa,M052 M244 M367,CLASSIFIER → UNK → RELATIONAL_MARKER,0.45,True,False,False,3,tiger
H-0163,Harappa,M293 M048,RELATIONAL_MARKER → RELATIONAL_MARKER,0.478,False,False,False,2,script only
H-0164,Harappa,M336 M342 M176 M328,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.525,False,False,False,4,unicorn
H-0165,Harappa,M067 M233 M293 M267 M233,CLASSIFIER → WEAK_CASE_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.651,True,True,False,5,rhinoceros
H-0166,Harappa,M078 M099,CLASSIFIER → RELATIONAL_MARKER,0.679,True,False,False,2,unicorn
H-0167,Harappa,M034 M211 M342 M328 M103 M162 M249,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → CASE_MARKER,0.613,True,True,False,7,rhinoceros
H-0168,Harappa,M016 M342 M176 M342,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.658,True,False,False,4,elephant
H-0169,Harappa,M064 M211,CLASSIFIER → RELATIONAL_MARKER,0.608,True,False,False,2,zebu bull
H-0170,Harappa,M074 M239 M367 M367,CLASSIFIER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.537,True,False,False,4,zebu bull
H-0171,Harappa,M045 M051 M087 M125,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.635,True,True,False,4,elephant
H-0172,Harappa,M009 M154 M342 M051,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.463,True,False,False,4,unicorn
H-0173,Harappa,M053 M357 M293 M293 M328 M401 M305,CLASSIFIER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → FLEXIBLE_AGENT → CASE_MARKER,0.599,True,True,False,7,script only
H-0174,Harappa,M073 M162 M099 M328 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.69,True,False,True,5,zebu bull
H-0175,Harappa,M050 M342 M162,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.628,True,False,False,3,zebu bull
H-0176,Harappa,M061 M087 M176,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.623,True,False,False,3,geometric
H-0177,Harappa,M024 M255 M211 M328,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.435,True,False,False,4,elephant
H-0178,Harappa,M391 M065 M367 M328,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.477,False,False,False,4,script only
H-0179,Harappa,M336 M012 M342 M336,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.496,False,False,False,4,rhinoceros
H-0180,Harappa,M011 M373 M110 M102 M048,CLASSIFIER → UNK → UNK → FLEXIBLE_AGENT → RELATIONAL_MARKER,0.342,True,False,False,5,elephant
H-0181,Harappa,M056 M392 M104 M328 M267 M217 M162,CLASSIFIER → UNK → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.338,True,False,False,7,rhinoceros
H-0182,Harappa,M001 M048 M342 M342 M176 M247 M065,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.49,True,False,False,7,unicorn
H-0183,Harappa,M002 M267 M367,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.608,True,False,False,3,unicorn
H-0184,Harappa,M233 M342 M048 M048,WEAK_CASE_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.56,False,False,False,4,rhinoceros
H-0185,Harappa,M064 M129 M267 M413 M267 M059,CLASSIFIER → UNK → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → HUB_AUTHORITY,0.473,True,False,True,6,rhinoceros
H-0186,Harappa,M009 M342 M125,CLASSIFIER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.703,True,True,False,3,unicorn
H-0187,Harappa,M063 M176 M099 M181 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → HUB_AUTHORITY,0.583,True,False,True,5,rhinoceros
H-0188,Harappa,M066 M263 M293,CLASSIFIER → UNK → RELATIONAL_MARKER,0.427,True,False,False,3,tiger
H-0189,Harappa,M017 M171 M293 M267 M386 M342 M059,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → HUB_AUTHORITY,0.563,True,False,True,7,unicorn
H-0190,Harappa,M079 M328 M267,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.652,True,False,False,3,unicorn
H-0191,Harappa,M076 M211 M328 M328,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.537,True,False,False,4,rhinoceros
H-0192,Harappa,M046 M267 M342 M089,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.586,True,False,False,4,zebu bull
H-0193,Harappa,M267 M162 M328,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.512,False,False,False,3,unicorn
H-0194,Harappa,M056 M089,CLASSIFIER → RELATIONAL_MARKER,0.65,True,False,False,2,zebu bull
H-0195,Harappa,M039 M099 M168 M012 M048,CLASSIFIER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.552,True,False,False,5,elephant
H-0196,Harappa,M034 M342 M162 M125,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.651,True,True,False,4,unicorn
H-0197,Harappa,M025 M293 M176,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.613,True,False,False,3,script only
H-0198,Harappa,M051 M099 M342 M176 M099 M391,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.533,False,False,False,6,script only
H-0199,Harappa,M051 M342 M336 M099,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.521,False,False,False,4,elephant
H-0200,Harappa,M061 M267 M342 M367,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.628,True,False,False,4,unicorn
H-0201,Harappa,M071 M342 M012,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.615,True,False,False,3,unicorn
H-0202,Harappa,M022 M282 M176 M099 M336,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.487,True,False,False,5,unicorn
H-0203,Harappa,M014 M401 M367,CLASSIFIER → FLEXIBLE_AGENT → RELATIONAL_MARKER,0.583,True,False,False,3,zebu bull
H-0204,Harappa,M293 M328 M267 M099 M222 M089 M367,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → CORE_ENTITY → RELATIONAL_MARKER → RELATIONAL_MARKER,0.487,False,False,False,7,geometric
H-0205,Harappa,M057 M342 M395 M293,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.477,True,False,False,4,zebu bull
H-0206,Harappa,M082 M125,CLASSIFIER → WEAK_CASE_MARKER,0.69,True,True,False,2,unicorn
H-0207,Harappa,M067 M089 M367 M087 M218 M059 M249,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → HUB_AUTHORITY → CASE_MARKER,0.588,True,True,True,7,rhinoceros
H-0208,Harappa,M077 M105 M280 M048 M328,CLASSIFIER → UNK → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.355,True,False,False,5,zebu bull
H-0209,Harappa,M005 M099 M211 M342,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.607,True,False,False,4,script only
H-0210,Harappa,M006 M176,CLASSIFIER → RELATIONAL_MARKER,0.658,True,False,False,2,unicorn
H-0211,Harappa,M028 M347 M367 M087,CLASSIFIER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.53,True,False,False,4,unicorn
H-0212,Harappa,M013 M211 M342 M294 M328,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.496,True,False,False,5,zebu bull
H-0213,Harappa,M051 M198 M087 M051,RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.463,False,False,False,4,rhinoceros
H-0214,Harappa,M080 M342 M087,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.628,True,False,False,3,unicorn
H-0215,Harappa,M058 M373 M051 M336,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.447,True,False,False,4,unicorn
H-0216,Harappa,M162 M089,RELATIONAL_MARKER → RELATIONAL_MARKER,0.475,False,False,False,2,unicorn
H-0217,Harappa,M038 M328 M048 M342 M249,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.661,True,True,False,5,unicorn
H-0218,Harappa,M035 M267 M099 M065,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.602,True,False,False,4,zebu bull
H-0219,Harappa,M042 M087 M089,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.555,True,False,False,3,script only
H-0220,Harappa,M020 M048 M012 M176 M099 M155 M162,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER,0.54,True,False,False,7,elephant
H-0221,Harappa,M068 M211 M367,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.574,True,False,False,3,rhinoceros
H-0222,Harappa,M233 M059 M342 M396 M293 M048 M099 M099,WEAK_CASE_MARKER → HUB_AUTHORITY → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.548,False,False,True,8,geometric
H-0223,Harappa,M010 M342 M305,CLASSIFIER → RELATIONAL_MARKER → CASE_MARKER,0.784,True,True,False,3,elephant
H-0224,Harappa,M078 M059 M059,CLASSIFIER → HUB_AUTHORITY → HUB_AUTHORITY,0.934,True,False,True,3,unicorn
H-0225,Harappa,M031 M342 M048,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.617,True,False,False,3,buffalo
H-0226,Harappa,M065 M328 M391 M089,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.475,False,False,False,4,unicorn
H-0227,Harappa,M020 M210 M391 M342 M099,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.49,True,False,False,5,unicorn
H-0228,Harappa,M038 M065,CLASSIFIER → RELATIONAL_MARKER,0.632,True,False,False,2,script only
H-0229,Harappa,M018 M339 M065,CLASSIFIER → UNK → RELATIONAL_MARKER,0.426,True,False,False,3,tiger
H-0230,Harappa,M057 M048 M176 M342 M176 M048,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.571,True,False,False,6,zebu bull
H-0231,Harappa,M057 M176 M099 M211 M065,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.575,True,False,False,5,zebu bull
H-0232,Harappa,M025 M259 M330 M237 M293 M112 M065,CLASSIFIER → UNK → UNK → FLEXIBLE_AGENT → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.319,True,False,False,7,tiger
H-0233,Harappa,M074 M174 M293 M048,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.422,True,False,False,4,buffalo
H-0234,Harappa,M050 M367,CLASSIFIER → RELATIONAL_MARKER,0.639,True,False,False,2,unicorn
H-0235,Harappa,M002 M336 M176,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.598,True,False,False,3,unicorn
H-0236,Harappa,M066 M296 M228 M286 M125 M416 M305,CLASSIFIER → UNK → UNK → UNK → WEAK_CASE_MARKER → CORE_ENTITY → CASE_MARKER,0.403,True,True,False,7,elephant
H-0237,Harappa,M028 M342 M233,CLASSIFIER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.677,True,True,False,3,zebu bull
H-0238,Harappa,M004 M012 M370 M342,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.465,True,False,False,4,script only
H-0239,Harappa,M013 M216 M065,CLASSIFIER → UNK → RELATIONAL_MARKER,0.45,True,False,False,3,script only
H-0240,Harappa,M014 M048 M162 M342 M367 M305,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.629,True,True,False,6,script only
H-0241,Harappa,M058 M233,CLASSIFIER → WEAK_CASE_MARKER,0.787,True,True,False,2,tiger
H-0242,Harappa,M017 M048,CLASSIFIER → RELATIONAL_MARKER,0.64,True,False,False,2,rhinoceros
H-0243,Harappa,M023 M048 M125 M211 M342 M305,CLASSIFIER → RELATIONAL_MARKER → WEAK_CASE_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.67,True,True,False,6,elephant
H-0244,Harappa,M025 M342 M233 M012,CLASSIFIER → RELATIONAL_MARKER → WEAK_CASE_MARKER → RELATIONAL_MARKER,0.643,True,False,False,4,zebu bull
H-0245,Harappa,M065 M328 M012 M267 M367,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.49,False,False,False,5,zebu bull
H-0246,Harappa,M076 M328 M267 M099,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.567,True,False,False,4,unicorn
H-0247,Harappa,M336 M059 M089 M391,RELATIONAL_MARKER → HUB_AUTHORITY → RELATIONAL_MARKER → RELATIONAL_MARKER,0.603,False,False,True,4,buffalo
H-0248,Harappa,M062 M267 M328 M267 M211,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.615,True,False,False,5,zebu bull
H-0249,Harappa,M063 M176 M087 M367,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.572,True,False,False,4,zebu bull
H-0250,Harappa,M067 M211 M347 M099 M249,CLASSIFIER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → CASE_MARKER,0.65,True,True,False,5,rhinoceros
H-0251,Harappa,M069 M367 M375 M267 M305,CLASSIFIER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → CASE_MARKER,0.649,True,True,False,5,tiger
H-0252,Harappa,M071 M267 M342 M172 M391 M336 M391,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.481,True,False,False,7,unicorn
H-0253,Harappa,M042 M336,CLASSIFIER → RELATIONAL_MARKER,0.605,True,False,False,2,unicorn
H-0254,Harappa,M003 M141 M228 M051,CLASSIFIER → UNK → UNK → RELATIONAL_MARKER,0.324,True,False,False,4,geometric
H-0255,Harappa,M087 M089 M336,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.462,False,False,False,3,gharial
H-0256,Harappa,M087 M136 M099 M293,RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.375,False,False,False,4,unicorn
H-0257,Harappa,M012 M176 M371 M048 M328,RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.391,False,False,False,5,gharial
H-0258,Harappa,M031 M162 M048 M267 M099 M258 M211,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER,0.478,True,False,False,7,zebu bull
H-0259,Harappa,M066 M051 M192 M342 M087,CLASSIFIER → RELATIONAL_MARKER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.461,True,False,False,5,rhinoceros
H-0260,Harappa,M054 M403 M336,CLASSIFIER → UNK → RELATIONAL_MARKER,0.399,True,False,False,3,buffalo
H-0261,Harappa,M078 M162 M233 M328 M220,CLASSIFIER → RELATIONAL_MARKER → WEAK_CASE_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.688,True,True,False,5,elephant
H-0262,Harappa,M041 M176,CLASSIFIER → RELATIONAL_MARKER,0.673,True,False,False,2,unicorn
H-0263,Harappa,M069 M267 M376 M305,CLASSIFIER → RELATIONAL_MARKER → UNK → CASE_MARKER,0.574,True,True,False,4,gharial
H-0264,Harappa,M039 M336 M162 M304 M293 M065,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.531,True,False,False,6,elephant
H-0265,Harappa,M065 M233,RELATIONAL_MARKER → WEAK_CASE_MARKER,0.588,False,True,False,2,zebu bull
H-0266,Harappa,M267 M099 M211 M342 M176 M012,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.536,False,False,False,6,unicorn
H-0267,Harappa,M061 M065,CLASSIFIER → RELATIONAL_MARKER,0.668,True,False,False,2,buffalo
H-0268,Harappa,M073 M312 M342 M089,CLASSIFIER → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER,0.496,True,False,False,4,zebu bull
H-0269,Harappa,M082 M293 M341 M233,CLASSIFIER → RELATIONAL_MARKER → UNK → WEAK_CASE_MARKER,0.467,True,True,False,4,rhinoceros
H-0270,Harappa,M047 M233,CLASSIFIER → WEAK_CASE_MARKER,0.73,True,True,False,2,rhinoceros
H-0271,Harappa,M391 M211 M367 M176,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.499,False,False,False,4,gharial
H-0272,Harappa,M033 M051,CLASSIFIER → RELATIONAL_MARKER,0.598,True,False,False,2,unicorn
H-0273,Harappa,M025 M099 M252 M125 M211 M106 M233 M328,CLASSIFIER → RELATIONAL_MARKER → FLEXIBLE_AGENT → WEAK_CASE_MARKER → RELATIONAL_MARKER → UNK → WEAK_CASE_MARKER → RELATIONAL_MARKER,0.532,True,False,False,8,unicorn
H-0274,Harappa,M020 M293 M099 M099 M059,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → HUB_AUTHORITY,0.684,True,False,True,5,unicorn
H-0275,Harappa,M079 M267 M199 M128 M293,CLASSIFIER → RELATIONAL_MARKER → UNK → FLEXIBLE_AGENT → RELATIONAL_MARKER,0.486,True,False,False,5,elephant
H-0276,Harappa,M038 M012,CLASSIFIER → RELATIONAL_MARKER,0.63,True,False,False,2,geometric
H-0277,Harappa,M391 M342 M267 M211 M233,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.57,False,True,False,5,buffalo
H-0278,Harappa,M233 M342 M176 M048 M342 M305,WEAK_CASE_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → CASE_MARKER,0.644,False,True,False,6,zebu bull
H-0279,Harappa,M030 M087 M099 M342 M099 M342 M065,CLASSIFIER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.577,True,False,False,7,zebu bull
H-0280,Harappa,M026 M344 M342,CLASSIFIER → UNK → RELATIONAL_MARKER,0.468,True,False,False,3,zebu bull
H-0281,Harappa,M087 M342 M328,RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.515,False,False,False,3,script only
H-0282,Harappa,M233 M293,WEAK_CASE_MARKER → RELATIONAL_MARKER,0.603,False,False,False,2,elephant
H-0283,Harappa,M016 M134 M270 M099 M342 M267,CLASSIFIER → UNK → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER,0.512,True,False,False,6,elephant
H-0284,Harappa,M028 M140 M227 M328 M342 M176 M099 M233,CLASSIFIER → UNK → UNK → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → RELATIONAL_MARKER → WEAK_CASE_MARKER,0.453,True,True,False,8,unicorn
H-0285,Harappa,M063 M325 M336,CLASSIFIER → UNK → RELATIONAL_MARKER,0.427,True,False,False,3,geometric
H-0286,Harappa,M040 M401 M267 M391,CLASSIFIER → FLEXIBLE_AGENT → RELATIONAL_MARKER → RELATIONAL_MARKER,0.563,True,False,False,4,zebu bull
