form,cisi_number,site,iconography,raw_sequence,role_sequence,cluster_sequence,length
seal_272,M-0091,Mohenjo-daro,elephant,M039 M328,START END,2 1,2
seal_273,M-0092,Mohenjo-daro,script only,M019 M367 M012 M089,START END END END,2 1 1 1,4
seal_274,K-0019,Kalibangan,buffalo,M012 M293 M384 M342 M176 M336 M125,END END CORE END END END END,1 1 0 3 3 1 1,7
seal_275,H-0093,Harappa,geometric,M033 M051 M336 M099 M367,START END END END END,2 1 1 3 1,5
seal_276,RGR-0008,Rakhigarhi,zebu bull,M029 M048 M342 M353 M267,START END END CORE END,2 1 3 0 3,5
seal_277,K-0020,Kalibangan,zebu bull,M002 M336 M331 M169 M249,START END CORE LINK END,2 1 0 0 1,5
seal_278,M-0093,Mohenjo-daro,zebu bull,M062 M087 M233 M305,START END END END,2 1 1 1,4
seal_279,M-0094,Mohenjo-daro,elephant,M045 M293 M106 M334 M357 M089,START END CORE CORE CORE END,2 1 0 0 0 1,6
seal_280,H-0094,Harappa,zebu bull,M057 M012 M162 M099 M342 M367,START END END END END END,2 1 1 3 3 1,6
seal_281,M-0095,Mohenjo-daro,rhinoceros,M060 M342 M391,START END END,2 3 1,3
seal_282,M-0096,Mohenjo-daro,script only,M069 M342 M176,START END END,2 3 3,3
seal_283,H-0095,Harappa,script only,M050 M342 M391 M051,START END END END,2 3 1 1,4
seal_284,M-0097,Mohenjo-daro,rhinoceros,M051 M367,END END,1 1,2
seal_285,H-0096,Harappa,unicorn,M037 M293 M211 M065,START END END END,2 1 1 1,4
seal_286,M-0098,Mohenjo-daro,unicorn,M017 M012,START END,2 1,2
seal_287,SK-0008,Surkotada,script only,M162 M176 M336 M293 M233,END END END END END,1 3 1 1 1,5
seal_288,M-0099,Mohenjo-daro,tiger,M021 M176 M267,START END END,2 3 3,3
seal_289,M-0100,Mohenjo-daro,unicorn,M059 M410 M089,LINK CORE END,1 0 1,3
seal_290,M-0101,Mohenjo-daro,elephant,M019 M012 M065,START END END,2 1 1,3
seal_291,M-0102,Mohenjo-daro,unicorn,M099 M170 M267 M267 M125,END CORE END END END,3 0 3 3 1,5
seal_292,C-0010,Chanhu-daro,gharial,M070 M123 M137 M249,START CORE CORE END,2 0 0 1,4
seal_293,L-0024,Lothal,zebu bull,M033 M100 M359 M065,START CORE CORE END,2 0 0 1,4
seal_294,H-0097,Harappa,zebu bull,M336 M211 M328 M412 M342 M342,END END END CORE END END,1 1 1 0 3 3,6
seal_295,M-0103,Mohenjo-daro,unicorn,M038 M342 M176 M294 M342 M293,START END END CORE END END,2 3 3 0 3 1,6
seal_296,DK-0016,Dholavira,elephant,M080 M162,START END,2 1,2
seal_297,DK-0017,Dholavira,zebu bull,M057 M406 M065,START CORE END,2 0 1,3
seal_298,H-0098,Harappa,rhinoceros,M067 M211,START END,2 1,2
seal_299,K-0021,Kalibangan,geometric,M008 M240 M342 M099 M051,START CORE END END END,2 0 3 3 1,5
seal_300,L-0025,Lothal,tiger,M075 M267 M048,START END END,2 3 1,3
seal_301,H-0099,Harappa,elephant,M016 M267 M328 M059 M367,START END END LINK END,2 3 1 1 1,5
seal_302,C-0011,Chanhu-daro,unicorn,M267 M367 M305,END END END,3 1 1,3
seal_303,DK-0018,Dholavira,buffalo,M065 M176 M233,END END END,1 3 1,3
seal_304,M-0104,Mohenjo-daro,elephant,M031 M158 M200 M125,START CORE CORE END,2 0 0 1,4
seal_305,M-0105,Mohenjo-daro,script only,M050 M334 M176 M267 M336,START CORE END END END,2 0 3 3 1,5
seal_306,H-0100,Harappa,elephant,M034 M218 M293 M065,START CORE END END,2 0 1 1,4
seal_307,K-0022,Kalibangan,elephant,M038 M197 M087 M391,START CORE END END,2 0 1 1,4
seal_308,SK-0009,Surkotada,script only,M009 M293 M342 M349 M391 M249,START END END CORE END END,2 1 3 0 1 1,6
seal_309,M-0106,Mohenjo-daro,unicorn,M055 M059 M249 M087,START LINK END END,2 1 1 1,4
seal_310,M-0107,Mohenjo-daro,elephant,M025 M220,START END,2 1,2
seal_311,M-0108,Mohenjo-daro,geometric,M037 M048 M155 M367,START END CORE END,2 1 0 1,4
seal_312,SK-0010,Surkotada,unicorn,M071 M336,START END,2 1,2
seal_313,K-0023,Kalibangan,zebu bull,M002 M239 M342 M048,START CORE END END,2 0 3 1,4
seal_314,H-0101,Harappa,zebu bull,M009 M233 M391 M012 M305,START END END END END,2 1 1 1 1,5
seal_315,M-0109,Mohenjo-daro,zebu bull,M013 M267 M089 M051,START END END END,2 3 1 1,4
seal_316,M-0110,Mohenjo-daro,unicorn,M099 M342 M293,END END END,3 3 1,3
seal_317,M-0111,Mohenjo-daro,unicorn,M017 M125,START END,2 1,2
seal_318,SK-0011,Surkotada,rhinoceros,M060 M342,START END,2 3,2
seal_319,BN-0012,Banawali,zebu bull,M047 M267 M305,START END END,2 3 1,3
seal_320,M-0112,Mohenjo-daro,geometric,M034 M328,START END,2 1,2
seal_321,M-0113,Mohenjo-daro,rhinoceros,M033 M328,START END,2 1,2
seal_322,H-0102,Harappa,elephant,M016 M245 M059,START CORE LINK,2 0 1,3
seal_323,SK-0012,Surkotada,buffalo,M075 M211 M342 M176 M099 M162,START END END END END END,2 1 3 3 3 1,6
seal_324,K-0024,Kalibangan,rhinoceros,M077 M127 M388 M319 M176 M099 M087,START LINK CORE CORE END END END,2 0 0 0 3 3 1,7
seal_325,M-0114,Mohenjo-daro,rhinoceros,M293 M162 M163 M059 M342,END END CORE LINK END,1 1 0 1 3,5
seal_326,K-0025,Kalibangan,unicorn,M367 M267 M336,END END END,1 3 1,3
seal_327,L-0026,Lothal,zebu bull,M075 M342,START END,2 3,2
seal_328,M-0115,Mohenjo-daro,gharial,M015 M379 M211 M293 M211 M176 M089,START CORE END END END END END,2 0 1 1 1 3 1,7
seal_329,M-0116,Mohenjo-daro,unicorn,M033 M411 M087,START CORE END,2 0 1,3
seal_330,H-0103,Harappa,unicorn,M048 M383 M176 M360 M176 M099 M087,END LINK END CORE END END END,1 0 3 0 3 3 1,7
seal_331,L-0027,Lothal,unicorn,M099 M012 M391 M342 M059,END END END END LINK,3 1 1 3 1,5
seal_332,H-0104,Harappa,elephant,M039 M391 M305,START END END,2 1 1,3
seal_333,RGR-0009,Rakhigarhi,unicorn,M059 M367 M223 M391 M089,LINK END CORE END END,1 1 0 1 1,5
seal_334,H-0105,Harappa,unicorn,M027 M134 M267 M099 M360 M328,START CORE END END CORE END,2 0 3 3 0 1,6
seal_335,M-0117,Mohenjo-daro,zebu bull,M035 M103 M211 M125,START CORE END END,2 0 1 1,4
seal_336,M-0118,Mohenjo-daro,unicorn,M065 M211 M099 M391,END END END END,1 1 3 1,4
seal_337,H-0106,Harappa,unicorn,M065 M342 M176 M195 M233,END END END CORE END,1 3 3 0 1,5
seal_338,M-0119,Mohenjo-daro,tiger,M019 M233 M342 M051,START END END END,2 1 3 1,4
seal_339,M-0120,Mohenjo-daro,elephant,M015 M176 M099 M342 M051,START END END END END,2 3 3 3 1,5
seal_340,L-0028,Lothal,rhinoceros,M068 M342 M367,START END END,2 3 1,3
seal_341,DK-0019,Dholavira,unicorn,M059 M304 M059 M176 M099 M211,LINK CORE LINK END END END,1 0 1 3 3 1,6
seal_342,M-0121,Mohenjo-daro,gharial,M041 M336 M342 M328,START END END END,2 1 3 1,4
seal_343,H-0107,Harappa,buffalo,M003 M342 M087,START END END,2 3 1,3
seal_344,M-0122,Mohenjo-daro,unicorn,M041 M233 M211,START END END,2 1 1,3
seal_345,C-0012,Chanhu-daro,zebu bull,M051 M087 M065 M294 M089,END END END CORE END,1 1 1 0 1,5
seal_346,M-0123,Mohenjo-daro,zebu bull,M031 M342 M176 M089 M305,START END END END END,2 3 3 1 1,5
seal_347,H-0108,Harappa,script only,M052 M267 M065,START END END,2 3 1,3
seal_348,SK-0013,Surkotada,tiger,M036 M108 M211 M176,START CORE END END,2 0 1 3,4
seal_349,M-0124,Mohenjo-daro,elephant,M039 M087 M342 M176 M099 M059 M065,START END END END END LINK END,2 1 3 3 3 1 1,7
seal_350,H-0109,Harappa,buffalo,M055 M293 M162 M346 M391,START END END CORE END,2 1 1 0 1,5
seal_351,H-0110,Harappa,script only,M058 M342 M176 M156 M171 M220,START END END CORE CORE END,2 3 3 0 0 1,6
seal_352,M-0125,Mohenjo-daro,zebu bull,M006 M391 M382 M391,START END CORE END,2 1 0 1,4
seal_353,L-0029,Lothal,rhinoceros,M068 M391 M157 M293 M342 M233,START END CORE END END END,2 1 0 1 3 1,6
seal_354,C-0013,Chanhu-daro,elephant,M012 M391,END END,1 1,2
seal_355,BN-0013,Banawali,rhinoceros,M006 M281 M305,START CORE END,2 0 1,3
seal_356,K-0026,Kalibangan,script only,M050 M267 M099,START END END,2 3 3,3
seal_357,M-0126,Mohenjo-daro,unicorn,M033 M254 M051,START CORE END,2 0 1,3
seal_358,DK-0020,Dholavira,geometric,M020 M162 M395 M162 M176,START END CORE END END,2 1 0 1 3,5
seal_359,H-0111,Harappa,elephant,M162 M267 M087 M267,END END END END,1 3 1 3,4
seal_360,M-0127,Mohenjo-daro,unicorn,M080 M176 M391,START END END,2 3 1,3
seal_361,L-0030,Lothal,unicorn,M020 M099 M211 M220,START END END END,2 3 1 1,4
seal_362,SK-0014,Surkotada,unicorn,M367 M162,END END,1 1,2
seal_363,M-0128,Mohenjo-daro,unicorn,M059 M267 M342 M099 M367,LINK END END END END,1 3 3 3 1,5
seal_364,DK-0021,Dholavira,unicorn,M059 M263 M065,LINK CORE END,1 0 1,3
seal_365,H-0112,Harappa,unicorn,M162 M388 M342 M176,END CORE END END,1 0 3 3,4
seal_366,M-0129,Mohenjo-daro,zebu bull,M027 M099 M354 M089 M271 M204 M227 M125,START END CORE END CORE CORE CORE END,2 3 0 1 0 0 0 1,8
seal_367,DK-0022,Dholavira,geometric,M023 M351 M342,START CORE END,2 0 3,3
seal_368,M-0130,Mohenjo-daro,unicorn,M048 M048 M342,END END END,1 1 3,3
seal_369,H-0113,Harappa,unicorn,M048 M342 M148 M320 M176,END END CORE CORE END,1 3 0 0 3,5
seal_370,H-0114,Harappa,elephant,M008 M051 M198 M089 M305,START END LINK END END,2 1 0 1 1,5
seal_371,M-0131,Mohenjo-daro,unicorn,M059 M219 M267 M102 M367 M099,LINK CORE END LINK END END,1 0 3 0 1 3,6
seal_372,SK-0015,Surkotada,rhinoceros,M058 M293 M342 M059,START END END LINK,2 1 3 1,4
seal_373,C-0014,Chanhu-daro,zebu bull,M003 M236 M176,START CORE END,2 0 3,3
seal_374,L-0031,Lothal,zebu bull,M074 M336,START END,2 1,2
seal_375,L-0032,Lothal,script only,M125 M328 M267 M102 M089 M125,END END END LINK END END,1 1 3 0 1 1,6
seal_376,M-0132,Mohenjo-daro,geometric,M051 M383 M048 M370 M099 M233,END LINK END CORE END END,1 0 1 0 3 1,6
seal_377,M-0133,Mohenjo-daro,script only,M041 M260 M342 M125 M059 M048,START CORE END END LINK END,2 0 3 1 1 1,6
seal_378,L-0033,Lothal,geometric,M023 M290 M168 M293 M065,START CORE LINK END END,2 0 0 1 1,5
seal_379,H-0115,Harappa,tiger,M078 M223 M267 M391,START CORE END END,2 0 3 1,4
seal_380,L-0034,Lothal,zebu bull,M019 M293 M391,START END END,2 1 1,3
seal_381,L-0035,Lothal,zebu bull,M062 M262 M293 M099,START CORE END END,2 0 1 3,4
seal_382,RGR-0010,Rakhigarhi,zebu bull,M099 M342 M267 M328,END END END END,3 3 3 1,4
seal_383,C-0015,Chanhu-daro,buffalo,M071 M065,START END,2 1,2
seal_384,C-0016,Chanhu-daro,rhinoceros,M053 M211 M256 M342 M012,START END CORE END END,2 1 0 3 1,5
seal_385,DK-0023,Dholavira,zebu bull,M056 M305,START END,2 1,2
seal_386,DK-0024,Dholavira,unicorn,M051 M168 M332 M138 M065 M336,END LINK LINK CORE END END,1 0 0 0 1 1,6
seal_387,M-0134,Mohenjo-daro,tiger,M008 M012 M391 M233 M051 M125 M293,START END END END END END END,2 1 1 1 1 1 1,7
seal_388,H-0116,Harappa,zebu bull,M054 M211 M059,START END LINK,2 1 1,3
seal_389,M-0135,Mohenjo-daro,rhinoceros,M030 M243 M342 M367,START CORE END END,2 0 3 1,4
seal_390,H-0117,Harappa,zebu bull,M073 M211,START END,2 1,2
seal_391,C-0017,Chanhu-daro,unicorn,M058 M342 M176 M328,START END END END,2 3 3 1,4
seal_392,M-0136,Mohenjo-daro,elephant,M006 M347 M211 M342 M305,START LINK END END END,2 0 1 3 1,5
seal_393,H-0118,Harappa,gharial,M061 M089 M342 M328 M087,START END END END END,2 1 3 1 1,5
seal_394,L-0036,Lothal,unicorn,M080 M267 M333 M328 M176,START END CORE END END,2 3 0 1 3,5
seal_395,M-0137,Mohenjo-daro,rhinoceros,M067 M391 M211 M048,START END END END,2 1 1 1,4
seal_396,M-0138,Mohenjo-daro,script only,M293 M328 M293 M267 M211,END END END END END,1 1 1 3 1,5
seal_397,H-0119,Harappa,unicorn,M008 M089 M342 M328 M051,START END END END END,2 1 3 1 1,5
seal_398,M-0139,Mohenjo-daro,elephant,M056 M162 M125 M099 M342,START END END END END,2 1 1 3 3,5
seal_399,M-0140,Mohenjo-daro,unicorn,M048 M342 M328 M267,END END END END,1 3 1 3,4
seal_400,H-0120,Harappa,tiger,M015 M391 M342 M065 M099 M342 M176 M065,START END END END END END END END,2 1 3 1 3 3 3 1,8
seal_401,M-0141,Mohenjo-daro,unicorn,M079 M342 M336 M012 M233,START END END END END,2 3 1 1 1,5
seal_402,H-0121,Harappa,zebu bull,M043 M182 M367 M211,START CORE END END,2 0 1 1,4
seal_403,DK-0025,Dholavira,rhinoceros,M021 M233 M267 M342 M336,START END END END END,2 1 3 3 1,5
seal_404,SK-0016,Surkotada,geometric,M391 M155 M267 M293,END CORE END END,1 0 3 1,4
seal_405,M-0142,Mohenjo-daro,zebu bull,M071 M211 M115 M051,START END CORE END,2 1 0 1,4
seal_406,DK-0026,Dholavira,unicorn,M033 M267 M305,START END END,2 3 1,3
seal_407,K-0027,Kalibangan,zebu bull,M048 M185 M362 M207 M305,END LINK CORE CORE END,1 0 0 0 1,5
seal_408,L-0037,Lothal,zebu bull,M030 M211 M342 M211 M367,START END END END END,2 1 3 1 1,5
seal_409,H-0122,Harappa,zebu bull,M073 M342 M211 M125 M051,START END END END END,2 3 1 1 1,5
seal_410,C-0018,Chanhu-daro,unicorn,M012 M342 M233,END END END,1 3 1,3
seal_411,H-0123,Harappa,unicorn,M071 M176 M089 M125,START END END END,2 3 1 1,4
seal_412,H-0124,Harappa,script only,M037 M391 M162 M051,START END END END,2 1 1 1,4
seal_413,M-0143,Mohenjo-daro,zebu bull,M056 M089 M257 M176 M336,START END CORE END END,2 1 0 3 1,5
seal_414,L-0038,Lothal,unicorn,M099 M267 M211,END END END,3 3 1,3
seal_415,M-0144,Mohenjo-daro,unicorn,M024 M089 M099 M293,START END END END,2 1 3 1,4
seal_416,M-0145,Mohenjo-daro,unicorn,M056 M211 M176 M246 M342 M048,START END END CORE END END,2 1 3 0 3 1,6
seal_417,M-0146,Mohenjo-daro,unicorn,M125 M162 M237 M267 M267 M267 M336 M089,END END LINK END END END END END,1 1 0 3 3 3 1 1,8
seal_418,H-0125,Harappa,unicorn,M211 M285 M051,END CORE END,1 0 1,3
seal_419,H-0126,Harappa,elephant,M039 M291 M267 M059 M267,START CORE END LINK END,2 0 3 1 3,5
seal_420,H-0127,Harappa,rhinoceros,M176 M184 M051,END CORE END,3 0 1,3
seal_421,RGR-0011,Rakhigarhi,buffalo,M087 M342 M125,END END END,1 3 1,3
seal_422,H-0128,Harappa,script only,M022 M211 M342 M328 M342,START END END END END,2 1 3 1 3,5
seal_423,M-0147,Mohenjo-daro,elephant,M058 M378 M211 M367,START CORE END END,2 0 1 1,4
seal_424,M-0148,Mohenjo-daro,zebu bull,M028 M059 M233 M416 M012 M059 M220,START LINK END CORE END LINK END,2 1 1 0 1 1 1,7
seal_425,L-0039,Lothal,unicorn,M015 M293,START END,2 1,2
seal_426,H-0129,Harappa,script only,M052 M342 M413 M293 M367,START END CORE END END,2 3 0 1 1,5
seal_427,H-0130,Harappa,zebu bull,M057 M363 M211 M233,START CORE END END,2 0 1 1,4
seal_428,H-0131,Harappa,unicorn,M017 M176 M338 M051 M048,START END CORE END END,2 3 0 1 1,5
seal_429,DK-0027,Dholavira,unicorn,M049 M087 M391 M367 M211 M176,START END END END END END,2 1 1 1 1 3,6
seal_430,M-0149,Mohenjo-daro,unicorn,M037 M288 M391,START CORE END,2 0 1,3
seal_431,BN-0014,Banawali,zebu bull,M058 M267 M051,START END END,2 3 1,3
seal_432,H-0132,Harappa,script only,M056 M089 M337 M211 M059,START END CORE END LINK,2 1 0 1 1,5
seal_433,H-0133,Harappa,elephant,M016 M089 M048,START END END,2 1 1,3
seal_434,M-0150,Mohenjo-daro,gharial,M024 M244 M293 M267,START CORE END END,2 0 1 3,4
seal_435,H-0134,Harappa,gharial,M027 M342 M220,START END END,2 3 1,3
seal_436,K-0028,Kalibangan,zebu bull,M050 M349 M249,START CORE END,2 0 1,3
seal_437,M-0151,Mohenjo-daro,script only,M066 M220,START END,2 1,2
seal_438,H-0135,Harappa,unicorn,M342 M176 M379 M367,END END CORE END,3 3 0 1,4
seal_439,C-0019,Chanhu-daro,rhinoceros,M005 M342 M176 M336,START END END END,2 3 3 1,4
seal_440,K-0029,Kalibangan,zebu bull,M089 M267,END END,1 3,2
seal_441,M-0152,Mohenjo-daro,unicorn,M052 M336 M099 M249,START END END END,2 1 3 1,4
seal_442,M-0153,Mohenjo-daro,script only,M069 M209 M342 M087,START CORE END END,2 0 3 1,4
seal_443,H-0136,Harappa,zebu bull,M072 M305,START END,2 1,2
seal_444,M-0154,Mohenjo-daro,rhinoceros,M058 M087 M342 M249,START END END END,2 1 3 1,4
seal_445,L-0040,Lothal,unicorn,M342 M176 M305,END END END,3 3 1,3
seal_446,K-0030,Kalibangan,script only,M022 M048 M328 M176 M099 M051,START END END END END END,2 1 1 3 3 1,6
seal_447,M-0155,Mohenjo-daro,unicorn,M014 M328 M367 M293 M267 M267 M367,START END END END END END END,2 1 1 1 3 3 1,7
seal_448,M-0156,Mohenjo-daro,unicorn,M070 M211 M367 M328,START END END END,2 1 1 1,4
seal_449,L-0041,Lothal,script only,M019 M342 M233 M267,START END END END,2 3 1 3,4
seal_450,DK-0028,Dholavira,rhinoceros,M089 M125 M391 M059,END END END LINK,1 1 1 1,4
seal_451,H-0137,Harappa,geometric,M014 M176 M099 M012,START END END END,2 3 3 1,4
seal_452,H-0138,Harappa,elephant,M045 M162 M099 M391 M293 M328,START END END END END END,2 1 3 1 1 1,6
seal_453,H-0139,Harappa,buffalo,M293 M162 M099 M342 M012 M342 M176,END END END END END END END,1 1 3 3 1 3 3,7
seal_454,M-0157,Mohenjo-daro,unicorn,M004 M156 M328 M089 M176 M176 M391,START CORE END END END END END,2 0 1 1 3 3 1,7
seal_455,M-0158,Mohenjo-daro,unicorn,M059 M267 M099 M332 M267 M211 M313 M087,LINK END END LINK END END CORE END,1 3 3 0 3 1 0 1,8
seal_456,H-0140,Harappa,zebu bull,M073 M211 M342 M176 M099,START END END END END,2 1 3 3 3,5
seal_457,M-0159,Mohenjo-daro,script only,M025 M272 M249,START LINK END,2 0 1,3
seal_458,H-0141,Harappa,zebu bull,M048 M328 M267 M391 M328 M087,END END END END END END,1 1 3 1 1 1,6
seal_459,DK-0029,Dholavira,unicorn,M391 M233,END END,1 1,2
seal_460,M-0160,Mohenjo-daro,elephant,M016 M321 M342 M048,START CORE END END,2 0 3 1,4
seal_461,H-0142,Harappa,unicorn,M059 M178 M267 M089,LINK CORE END END,1 0 3 1,4
seal_462,K-0031,Kalibangan,gharial,M043 M065,START END,2 1,2
seal_463,M-0161,Mohenjo-daro,unicorn,M211 M342 M305,END END END,1 3 1,3
seal_464,DK-0030,Dholavira,zebu bull,M012 M245 M211,END CORE END,1 0 1,3
seal_465,H-0143,Harappa,rhinoceros,M047 M059 M328 M059 M176,START LINK END LINK END,2 1 1 1 3,5
seal_466,H-0144,Harappa,elephant,M016 M336 M233,START END END,2 1 1,3
seal_467,M-0162,Mohenjo-daro,zebu bull,M062 M087 M293 M267 M176,START END END END END,2 1 1 3 3,5
seal_468,L-0042,Lothal,zebu bull,M057 M176 M211,START END END,2 3 1,3
seal_469,L-0043,Lothal,unicorn,M037 M342 M048,START END END,2 3 1,3
seal_470,SK-0017,Surkotada,unicorn,M007 M059 M293 M227 M300 M106 M247 M012,START LINK END CORE CORE CORE CORE END,2 1 1 0 0 0 0 1,8
seal_471,M-0163,Mohenjo-daro,unicorn,M391 M267 M328,END END END,1 3 1,3
seal_472,M-0164,Mohenjo-daro,buffalo,M065 M342,END END,1 3,2
seal_473,M-0165,Mohenjo-daro,script only,M071 M342 M176 M099 M391,START END END END END,2 3 3 3 1,5
seal_474,M-0166,Mohenjo-daro,rhinoceros,M067 M209 M266 M233 M301 M267 M048,START CORE CORE END CORE END END,2 0 0 1 0 3 1,7
seal_475,H-0145,Harappa,rhinoceros,M047 M267 M342 M176 M099,START END END END END,2 3 3 3 3,5
seal_476,K-0032,Kalibangan,unicorn,M012 M125 M099,END END END,1 1 3,3
seal_477,SK-0018,Surkotada,script only,M066 M176 M099 M342 M391 M087,START END END END END END,2 3 3 3 1 1,6
seal_478,H-0146,Harappa,gharial,M024 M176 M267 M087,START END END END,2 3 3 1,4
seal_479,L-0044,Lothal,script only,M048 M162 M059,END END LINK,1 1 1,3
seal_480,M-0167,Mohenjo-daro,elephant,M045 M375 M342 M176 M059,START LINK END END LINK,2 0 3 3 1,5
seal_481,H-0147,Harappa,unicorn,M078 M391 M051,START END END,2 1 1,3
seal_482,M-0168,Mohenjo-daro,rhinoceros,M015 M162,START END,2 1,2
seal_483,M-0169,Mohenjo-daro,geometric,M005 M065 M313 M342,START END CORE END,2 1 0 3,4
seal_484,BN-0015,Banawali,zebu bull,M054 M089,START END,2 1,2
seal_485,DK-0031,Dholavira,rhinoceros,M211 M099 M367 M367 M099 M249,END END END END END END,1 3 1 1 3 1,6
seal_486,M-0170,Mohenjo-daro,script only,M391 M012,END END,1 1,2
seal_487,M-0171,Mohenjo-daro,tiger,M065 M130 M143 M207 M051 M249 M185 M328,END CORE CORE CORE END END LINK END,1 0 0 0 1 1 0 1,8
seal_488,DK-0032,Dholavira,elephant,M045 M256 M293 M328 M267 M089,START CORE END END END END,2 0 1 1 3 1,6
seal_489,DK-0033,Dholavira,elephant,M026 M162 M233 M391 M099 M342 M391,START END END END END END END,2 1 1 1 3 3 1,7
seal_490,H-0148,Harappa,tiger,M064 M125,START END,2 1,2
seal_491,C-0020,Chanhu-daro,unicorn,M065 M176 M367,END END END,1 3 1,3
seal_492,H-0149,Harappa,tiger,M061 M267 M087 M211,START END END END,2 3 1 1,4
seal_493,RGR-0012,Rakhigarhi,gharial,M013 M305,START END,2 1,2
seal_494,M-0172,Mohenjo-daro,unicorn,M059 M293 M391,LINK END END,1 1 1,3
seal_495,H-0150,Harappa,elephant,M045 M198 M367 M233,START LINK END END,2 0 1 1,4
seal_496,K-0033,Kalibangan,buffalo,M035 M065,START END,2 1,2
seal_497,M-0173,Mohenjo-daro,elephant,M045 M233,START END,2 1,2
seal_498,SK-0019,Surkotada,unicorn,M053 M125,START END,2 1,2
seal_499,M-0174,Mohenjo-daro,zebu bull,M007 M384 M131 M336,START CORE CORE END,2 0 0 1,4
seal_500,H-0151,Harappa,elephant,M001 M258 M211 M059,START CORE END LINK,2 0 1 1,4
seal_501,H-0152,Harappa,zebu bull,M073 M267 M099 M125,START END END END,2 3 3 1,4
seal_502,M-0175,Mohenjo-daro,gharial,M078 M012,START END,2 1,2
seal_503,M-0176,Mohenjo-daro,unicorn,M059 M162 M125 M305,LINK END END END,1 1 1 1,4
seal_504,H-0153,Harappa,elephant,M036 M162 M267 M249,START END END END,2 1 3 1,4
seal_505,H-0154,Harappa,gharial,M044 M065 M211,START END END,2 1 1,3
seal_506,M-0177,Mohenjo-daro,unicorn,M293 M305,END END,1 1,2
seal_507,M-0178,Mohenjo-daro,tiger,M021 M176 M048 M342 M336,START END END END END,2 3 1 3 1,5
seal_508,K-0034,Kalibangan,unicorn,M087 M345 M211 M336,END CORE END END,1 0 1 1,4
seal_509,M-0179,Mohenjo-daro,unicorn,M022 M367 M249,START END END,2 1 1,3
seal_510,H-0155,Harappa,elephant,M016 M059 M342 M048,START LINK END END,2 1 3 1,4
seal_511,BN-0016,Banawali,rhinoceros,M211 M162 M099 M099 M059 M367,END END END END LINK END,1 1 3 3 1 1,6
seal_512,K-0035,Kalibangan,geometric,M038 M137 M342 M059,START CORE END LINK,2 0 3 1,4
seal_513,H-0156,Harappa,unicorn,M008 M048,START END,2 1,2
seal_514,H-0157,Harappa,unicorn,M078 M342 M176 M099 M342 M233 M375 M065,START END END END END END LINK END,2 3 3 3 3 1 0 1,8
seal_515,DK-0034,Dholavira,unicorn,M081 M051,START END,2 1,2
seal_516,BN-0017,Banawali,geometric,M023 M267 M267 M051,START END END END,2 3 3 1,4
seal_517,DK-0035,Dholavira,zebu bull,M063 M231 M367,START CORE END,2 0 1,3
seal_518,H-0158,Harappa,rhinoceros,M068 M099 M211 M012,START END END END,2 3 1 1,4
seal_519,L-0045,Lothal,tiger,M069 M305,START END,2 1,2
seal_520,K-0036,Kalibangan,unicorn,M074 M128 M099 M342 M391,START LINK END END END,2 0 3 3 1,5
seal_521,K-0037,Kalibangan,unicorn,M026 M336 M012 M393 M328 M249,START END END CORE END END,2 1 1 0 1 1,6
seal_522,M-0180,Mohenjo-daro,unicorn,M033 M328 M065,START END END,2 1 1,3
seal_523,C-0021,Chanhu-daro,unicorn,M267 M259 M181 M221 M410 M278 M089,END CORE CORE CORE CORE CORE END,3 0 0 0 0 0 1,7
seal_524,K-0038,Kalibangan,unicorn,M006 M249,START END,2 1,2
seal_525,H-0159,Harappa,script only,M030 M048 M237 M048,START END LINK END,2 1 0 1,4
seal_526,M-0181,Mohenjo-daro,zebu bull,M047 M048 M125,START END END,2 1 1,3
seal_527,C-0022,Chanhu-daro,zebu bull,M057 M284 M142 M089 M065,START CORE CORE END END,2 0 0 1 1,5
seal_528,SK-0020,Surkotada,unicorn,M058 M151 M283 M199 M249,START CORE CORE CORE END,2 0 0 0 1,5
seal_529,H-0160,Harappa,script only,M019 M176 M162 M059,START END END LINK,2 3 1 1,4
seal_530,M-0182,Mohenjo-daro,elephant,M016 M328 M012,START END END,2 1 1,3
seal_531,H-0161,Harappa,rhinoceros,M042 M089 M249,START END END,2 1 1,3
seal_532,M-0183,Mohenjo-daro,elephant,M045 M233 M099 M293,START END END END,2 1 3 1,4
seal_533,M-0184,Mohenjo-daro,elephant,M018 M012 M342 M251 M059,START END END CORE LINK,2 1 3 0 1,5
seal_534,H-0162,Harappa,tiger,M052 M244 M367,START CORE END,2 0 1,3
seal_535,M-0185,Mohenjo-daro,unicorn,M293 M176 M099 M391 M220,END END END END END,1 3 3 1 1,5
seal_536,H-0163,Harappa,script only,M293 M048,END END,1 1,2
seal_537,DK-0036,Dholavira,zebu bull,M073 M293 M176 M233 M051,START END END END END,2 1 3 1 1,5
seal_538,H-0164,Harappa,unicorn,M336 M342 M176 M328,END END END END,1 3 3 1,4
seal_539,H-0165,Harappa,rhinoceros,M067 M233 M293 M267 M233,START END END END END,2 1 1 3 1,5
seal_540,M-0186,Mohenjo-daro,unicorn,M162 M293 M342 M176,END END END END,1 1 3 3,4
seal_541,M-0187,Mohenjo-daro,elephant,M049 M140 M328 M328 M048,START CORE END END END,2 0 1 1 1,5
seal_542,M-0188,Mohenjo-daro,geometric,M099 M342 M099 M391 M252 M233,END END END END LINK END,3 3 3 1 0 1,6
